job_title,job_field
AI Scientist,A.I. / M.L.
Analytics Engineer,Analysis
Applied Data Scientist,Data Science
Applied Machine Learning Scientist,A.I. / M.L.
Computer Vision Engineer,A.I. / M.L.
Data Analyst,Analysis
Data Analytics Engineer,Analysis
Data Analytics Lead,Analysis
Data Analytics Manager,Analysis
Data Architect,Engineering
Data Engineer,Engineering
Data Engineering Manager,Engineering
Data Science Engineer,Engineering
Data Science Manager,Data Science
Data Scientist,Data Science
Data Specialist,Analysis
Director of Data Engineering,Engineering
Director of Data Science,Data Science
Head of Data,Data Science
Head of Data Science,Data Science
Head of Machine Learning,A.I. / M.L.
Lead Data Analyst,Analysis
Lead Data Engineer,Engineering
Lead Data Scientist,Data Science
Lead Machine Learning Engineer,A.I. / M.L.
Machine Learning Engineer,A.I. / M.L.
Machine Learning Manager,A.I. / M.L.
Machine Learning Scientist,A.I. / M.L.
Principal Data Analyst,Analysis
Principal Data Engineer,Engineering
Principal Data Scientist,Data Science
Research Scientist,Data Science